
ঁ চনদ্রোবিনদু
ং অনুশশার
ঃ বিশরগো
অংশও অঙশো
অংশটা অঙশোটা
অংশত অঙশোতো
অংশী ওঙশি
অংশীদার ওঙশিদার
অকথ্য অকোতথো
অকর্মণ্য অকরমোননো
অকল্পিত অকোলপিত
অকারণ অকারোন
অকিঞ্চন অকিনচন
অকুণ্ঠ অকুনঠো
অকুল অকুল
অকূল অকুল
অকৃতকার্য অক্রিতোকারজো
অক্ষত অক-খতো$
অক্ষম অকখোম
অক্ষুণ্ণ অকখুননো
অখ্যাত অকখ১তো
অগ্নি ওগনি
অগ্নিদগ্ধ ওগনিদগধো
অগ্নিপরীক্ষা ওগনিপোরিকখা
অগ্নিশর্মা ওগনিশরমা
অগ্ন্যুৎপাত ওগনুতপাত
অগ্রজ অগগ্রোজো
অগ্রদূত অগগ্রোদুত
অগ্রবর্তী অগগ্রোবোরতি
অগ্রভাগ অগগ্রোভাগ
অগ্রসর অগগ্রোশর
অগ্রহায়ণ অগগ্রোহায়োন
অগ্রিম ওগগ্রিম
অঘটিত অঘোটিতো
অঘোষধ্বনি অঘোশধোনি
অঙ্কিত ওঙকিতো
অঙ্কুরিত ওঙকুরিত
অঙ্গজ অঙগোজো
অঙ্গীকার ওঙগিকার
অঙ্গুরি ওঙগুরি
অঙ্গুলি ওঙগুলি
অচিন্তনীয় অচিনতোনিয়ো
অচূর্ণ অচুরনো
অজ অজো
অজস্র অজোসস্রো
অজাতশত্রু অজাতশোতত্রু
অজাতশ্মশ্রু অজাতোশোসস্রু
অজীর্ণ অজিরনো
অজ্ঞ অগগো
অজ্ঞাত অগগ১তো
অজ্ঞান অগগ১ন
অটুট অটুট
অট্টহাস্য অটটোহাশশো
অতঃপর অতোপ-পর$
অতিক্রম ওতিকক্রোম
অতিষ্ঠ অতিশঠো
অতীব ওতিবো
অতুল অতুল
অতুল্য অতুললো
অতুষ্ট অতুশটো
অত্যাধিক ওততোধিক
অত্যুক্তি ওততুকতি
অত্যুজ্জ্বল ওততুজজল
অত্যুৎকৃষ্ট ওততুতোক্রিশটো
অথচ অথোচো
অদৃষ্ট অদ্রিশটো
অদৈয় অদেয়ো
অদ্য ওদদো
অধঃ অধো
অধঃপতন অধোপ-পতোন
অধমর্ণ অধোমরনো
অধিকতম ওধিক-তমো$
অধিকরন ওধিকরোন
অধিবেশনে ওধিবেশোনে
অধীর অধির
অধ্যবসায় ওদধোবশায়
অধ্যাদেশ ওদধাদেশ
অধ্যাপক ওদধাপক
অধ্যাপনা ওদধাপনা
অধ্যাপিকা ওদধাপিকা
অধ্যায় ওদধায়
অধ্যুষিত ওদধুশিত
অধ্যয়ন ওদধোয়ন
অনন্ত অনোনতো
অনন্যোপায় অনোননোপায়
অনস্বীকার্য অনোশশিকারজো
অনাহত অনাহতো
অনিকেত অনিকেত
অনিদ্র অনিদদ্রো
অনিন্দ্য অনিনদো
অনিবার অনিবার
অনিবার্য অনিবারজো
অনির্দিষ্ট অনিরদিশটো
অনির্বচনীয় অনিরবচোনিয়ো
অনির্বাণ অনিররান
অনিশ্চিত অনিশচিতো
অনিষ্ট অনিশটো
অনিয়ম অনিয়ম
অনীশ অনিশ
অনীস অনিশ
অনুন্নত অনুন-নতো$
অনৃত অন্রিতো
অন্যায় অনন১য়
অন্যূন অনুনো
অপমান অপোমান
অপরাধের অপোরাধের
অফকোর্স অফকোর-স$
অবগতি অবোগোতি
অবিচার অবিচার
অব্যয় অবব১য়
অমসৃণ অমোস্রিন
অমূর্ত অমুরতো
অমূল্য অমুললো
অমৃত অম্রিতো
অর্গানাইজড অরগা-নাইজ-ড$
অশিক্ষিত অশিকখিতো
অশুদ্ধ অশুদধো
অশ্বত্থ অশশতথো
অসভ্য অশোবভো
অসম্মত অশমমতো
অসহযোগ অ-শহো-জোগ$
অসাধারণ অশাধারোন
অসীম অশিম
অস্থাবর অসথাবোর
অস্বচ্ছ অশচছো
আইনত আইনতো
আইনস্টাইন আইন-এশ-টাইন$
আকাঙ্ক্ষা আকাঙখা
আখ্যা আকখা
আজকাল আজকাল
আজকে আজকে
আজকেও আজকেও
আজকের আজকের
আটকা আটকা
আটকাতে আটকাতে
আটকানো আটকানো
আটকানোর আটকানোর
আটকে আটকে
আটটা আটটা
আটষট্টি আটশোটটি
আত্মকর্ম আততোকরমো
আত্মকেন্দ্রিক আততোকেনদ্রিক
আত্মসমর্পণ আত-তোশমর-পন$
আত্মসাৎ আততোশাত
আত্মস্থ আততোসথো
আত্মহত্যা আততোহোততা
আধটু আধটু
আনতে আনতে
আনন্দই আনোন-দোই$
আনলাম আনলাম
আনলে আনলে
আনলেই আনলেই
আন্দোলন আনদোলোন
আন্দোলনে আনদোলোনে
আন্দোলনের আনদোলোনের
আপ্লুত আপপ্লুতো
আফজাল আফজাল
আফজালকে আফজালকে
আবহাওয়া আবহাওয়া
আবির্ভূত আবিরভুতো
আবৃত্তি আব্রিততি
আরেকজনের আরেক-জনের$
আরেকটু আরেকটু
আর্মস আরম-শ$
আলখাললা আলখাললা
আলগোছে আলগোছে
আলেখ্য আলেকখো
আলোকচিত্র আলোকচিতত্রো
আলোকচ্ছটা আলোকচছোটা
আলোচিত আলোচিতো
আল্লাদ আললাদ
আল্লাহ্‌ আললাহ
আশরাফ আশরাফ
আশরাফই আশরাফই
আশরাফও আশরাফো
আশরাফকে আশরাফকে
আশরাফরা আশরাফরা
আশরাফের আশরাফের
আশীর্বাদ আশিরবাদ
আসক্তি আশোততি
আসছি আশছি
আসছিল আশছিল
আসছিলাম আশছিলাম
আসছিলেন আশছিলেন
আসছে আশছে
আসছেন আশছেন
আহমেদ আহমেদ
আহসান আহসান
আহ্বায়ক আওভায়োক
আয়না আয়না
আয়নার আয়নার
আয়ুশ্মতি আয়ুশমোতি
ইতস্তত ইতসতোতো
ইলেকট্রিশিয়ান ইলেকট্রিশিয়ান
ইসলাম ইসলাম
ইসলামিক ইসলামিক
ইসলামী ইসলামি
ইসলামের ইসলামের
ইস্কাবন ইসকাবন
ইহকাল ইহোকাল
ইয়ারকি ইয়ারকি
ঈপ্সিত ইপশিতো
উচিত উচিত
উঠছিল উঠছিলো
উঠব উঠবো
উঠবি উঠবি
উঠল উঠলো
উত্তাপটুকু উততাপটুকু
উত্তেজনা উততেজোনা
উত্তেজনায় উততেজোনায়
উদাস উদাশ
উদাসমুখে উদাশমুখে
উনআশি উনোআশি
উপকার উপোকার
উপদেশ উপোদেশ
উপমন্ত্রী উপমোনত্রি
উপমান উপমান
উপরিস্থিত উপোরিসথিতো
উপরে উপোরে
উপরের উপোরের
উপলক্ষ উপোলোকখো
উপলব্ধি উপোলোবধি
উপসংহার উপোশঙহার
উপহাস উপোহাশ
উর্ণনাভ উরনোনাভো
উল্লাস উললাশ
উল্লিখিত উললিখিতো
উল্লেখ্য উললেকখো
উৎসাহী উতশাহি
উড়াব উড়াবো
ঊনচল্লিশ উনোচোললিশ
ঊনপঞ্চাশ উনোপনচাশ
ঊনষাট উনোশাট
ঊনসত্তর উনোশোততোর
এঁকেছিল একেছিলো
একচল্লিশ অ১কচোললিশ
একচ্ছত্র একচছতত্রো
একজনের একজোনের
একটি অ১কটি
একটু একটু
একটুও একটুও
একত্ব একোততো
একত্র একতত্রো
একত্রিশ অ১কোতত্রিশ
একদিক অ১কদিক
একদিকে অ১কদিকে
একদিন অ১কদিন
একদিনের অ১কদিনের
একদৃষ্টি অ১কদ্রিশটি
একপঞ্চাশ অ১কপনচাশ
একবংশ একোবিঙশো
একরকম অ১ক-রকোম$
একরকমের অ১ক-রকোমের$
একশ অ১কশো
একশতে অ১কশোতে
একষট্টি একশোটটি
একসময় অ১কশোময়
একসহস্র অ১কশহোসস্রো
একাক্ষর একাকখর
একাত্তর অ১কাততোর
একান্ন একাননো
একে এ১কে
একেকজনের অ১কেক-জোনের$
একেকটা অ১কেকটা
একের অ১কের
এখনো অ১খোনো
এখান এখান
এখানকার এখানকার
এখানে এখানে
এখানেই এখানেই
এজলাস এজলাশ
এটা এটা
এটাই এটাই
এটাকে এটাকে
এটাকেই এটাকেই
এত অ১তো
এতজনের অ১তোজোনের
এতদুদ্দেশ্যে এতোদুদদেশশে
এনাম এনাম
এন্ড এন-ড$
এপাশ এপাশ
এফ এফ
এফের এফের
এবং এবঙ
এবংবিধ এবোঙবিধো
এবাদত ইবাদত
এবার এবার
এবারে এবারে
এবারের এবারের
এভাবে এভাবে
এভাবেই এভাবেই
এম এম
এমনকি এমোনকি
এমনিতেই এমনিতেই
এমবুশ অ১মবুশ
এরকম এ-রকোম$
এরপর এরপর
এরা এরা
এরেস্ট অ১রেশ-ট$
এল এলো
এলাকা এলাকা
এলাম এলাম
এলো এলো
এলোমেলো এলোমেলো
এস এশো
এসেছ এশেছো
এসেছিল এশেছিলো
ঐক ওইকো
ঐকমত্য ওইকোমোততো
ঐক্য ওইককো
ওড়না ওড়না
ওয়ার্ল্ড ওয়ারল-ড$
কই কই
কচলে কচ-লে$
কথাগুলিরও কথাগুলির-ও$
কদমতলার কদোম-তলার$
কমপক্ষে কমপোকখে
কমপ্লিট কম-প্লিট$
কমবয়সী কম-বয়োশি$
কমান্ডো কমানডো
কমিক কমিক
কমিটি কমিটি
কমিটির কমিটির
কমিয়ে কোমিয়ে
করছ কোরছো
করছি কোরছি
করছিও কোরছিও
করছিল কোরছিলো
করছিলাম কোরছিলাম
করছিলেন কোরছিলেন
করছে কোরছে
করছেন কোরছেন
করত কোরতো
করতাম কোরতাম
করতে কোরতে
করতেই কোরতেই
করতেও কোরতেও
করতেন কোরতেন
করব কোরবো
করবি কোরবি
করবে কোরবে
করল কোরলো
করলাম কোরলাম
করলি কোরলি
করলে কোরলে
করলেই কোরলেই
করলেন কোরলেন
করিব কোরিবো
করিসনি কোরিশনি
করে কোরে
করেছি কোরেছি
করেছিল কোরেছিলো
করেছিস কোরেছিশ
করেছে কোরেছে
করেছেন কোরেছেন
কলকারখানা কলকারখানা
কলমা কলমা
কলসির কোলশির
কসম কসোম
কাঁদছিস কাদছিশ
কাঁদছে কাদছে
কাঁদছেন কাদছেন
কাঁদতে কাদতে
কাঁদতেই কাদতেই
কাঁদব কাদবো
কাঁপছে কাপছে
কাঁপতে কাপতে
কাজকর্ম কাজকরমো
কাজটা কাজটা
কাটছি কাটছি
কাটতে কাট-তে$
কাটবে কাট-বে$
কাটেননি কাটেননি
কাঠমিস্ত্রি কাঠমিসত্রি
কানকে কানকে
কামধেনু কামধেনু
কারখানা কারখানা
কারখানায় কারখানায়
কারফিউ কারফিউ
কালকে কালকে
কালকের কালকের
কাশ্মির কাশমির
কায়সার কায়সার
কায়সারদের কায়সারদের
কিনল কিনলো
কিসমত কিসমত
কিসিমের কিসিমের
কুচকুচে কুচকুচে
কুষ্মাণ্ড কুশমানডো
কুৎসিত কুতশিত
কেতন কেতন
কেদার কেদার
কেনা কেনা
কোঁকড়া কোক-ড়া$
কোনটা কোনটা
কোলকাতা কোলকাতা
